token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
954,0.002385,448,0.00448,9.509904384613037
5431,0.0135775,135,0.00135,5.877202749252319
2660,0.00665,220,0.0022,7.884074926376343
1803,0.0045075,211,0.00211,3.7675023078918457
1535,0.0038375,411,0.00411,4.8992533683776855
1054,0.002635,94,0.00094,1.3659148216247559
563,0.0014075,97,0.00097,1.6055397987365723
592,0.00148,108,0.00108,1.3024072647094727
728,0.00182,121,0.00121,6.463961362838745
1229,0.0030725,97,0.00097,1.6164567470550537
1355,0.0033875,810,0.0081,11.078051328659058
2489,0.0062225,140,0.0014,5.630058765411377
1090,0.002725,94,0.00094,1.833754301071167
1610,0.004025,136,0.00136,1.8311796188354492
1602,0.004005,465,0.00465,5.905335187911987
1278,0.003195,173,0.00173,2.85920786857605
932,0.00233,96,0.00096,1.9419543743133545
903,0.0022575,435,0.00435,9.60059142112732
773,0.0019325,120,0.0012,2.328890323638916
1914,0.004785,120,0.0012,1.6578497886657715
1170,0.002925,140,0.0014,1.8272693157196045
1618,0.004045,412,0.00412,5.988288879394531
2055,0.0051375,391,0.00391,13.188935279846191
757,0.0018925,95,0.00095,1.3474171161651611
1396,0.00349,553,0.00553,5.935780763626099
3100,0.00775,407,0.00407,12.505268096923828
2774,0.006935,486,0.00486,16.293065786361694
570,0.001425,126,0.00126,7.3845484256744385
1925,0.0048125,429,0.00429,7.29437780380249
856,0.00214,113,0.00113,2.273388624191284
2447,0.0061175,118,0.00118,3.537883758544922
5274,0.013185,466,0.00466,13.427283525466919
3136,0.00784,473,0.00473,17.033846616744995
1647,0.0041175,129,0.00129,1.3302834033966064
1009,0.0025225,106,0.00106,1.4170401096343994
803,0.0020075,118,0.00118,1.592634916305542
1973,0.0049325,131,0.00131,1.4779136180877686
2587,0.0064675,428,0.00428,9.46585464477539
2364,0.00591,410,0.0041,3.9368398189544678
1415,0.0035375,128,0.00128,1.2582833766937256
2095,0.0052375,415,0.00415,4.554301977157593
1883,0.0047075,468,0.00468,10.76008415222168
1236,0.00309,103,0.00103,1.2189021110534668
1798,0.004495,503,0.00503,4.905096054077148
930,0.002325,114,0.00114,1.388514757156372
782,0.001955,118,0.00118,1.2169122695922852
772,0.00193,97,0.00097,1.0068392753601074
980,0.00245,114,0.00114,1.4946181774139404
690,0.001725,85,0.00085,1.1525049209594727
945,0.0023625,113,0.00113,1.3392212390899658
837,0.0020925,103,0.00103,1.9098434448242188
723,0.0018075,95,0.00095,1.377849817276001
723,0.0018075,94,0.00094,1.4291260242462158
622,0.001555,101,0.00101,1.5249173641204834
763,0.0019075,110,0.0011,1.30143141746521
579,0.0014475,91,0.00091,1.2794833183288574
508,0.00127,98,0.00098,1.1661865711212158
962,0.002405,111,0.00111,1.6914434432983398
831,0.0020775,92,0.00092,1.9442338943481445
736,0.00184,92,0.00092,1.1253561973571777
1026,0.002565,533,0.00533,5.460738658905029
841,0.0021025,102,0.00102,1.308722972869873
702,0.001755,429,0.00429,5.229022264480591
818,0.002045,106,0.00106,1.1048002243041992
612,0.00153,101,0.00101,1.384465217590332
1115,0.0027875,103,0.00103,1.7919282913208008
963,0.0024075,182,0.00182,4.147664546966553
796,0.00199,156,0.00156,1.6611135005950928
519,0.0012975,132,0.00132,1.953427791595459
1074,0.002685,132,0.00132,1.344773530960083
922,0.002305,101,0.00101,1.317106008529663
845,0.0021125,99,0.00099,1.5784218311309814
579,0.0014475,86,0.00086,1.1898350715637207
506,0.001265,83,0.00083,1.3056983947753906
610,0.001525,93,0.00093,1.1656243801116943
653,0.0016325,105,0.00105,1.4683091640472412
720,0.0018,94,0.00094,1.535628080368042
776,0.00194,104,0.00104,1.183967113494873
888,0.00222,408,0.00408,5.42187237739563
526,0.001315,86,0.00086,1.0743927955627441
564,0.00141,99,0.00099,1.0843572616577148
1024,0.00256,90,0.0009,2.159910202026367
589,0.0014725,88,0.00088,1.904897689819336
1043,0.0026075,546,0.00546,5.349927186965942
841,0.0021025,113,0.00113,1.6658539772033691
788,0.00197,114,0.00114,1.5777075290679932
1609,0.0040225,92,0.00092,1.2090022563934326
546,0.001365,108,0.00108,1.4868714809417725
612,0.00153,79,0.00079,1.140061378479004
819,0.0020475,90,0.0009,3.049111843109131
1317,0.0032925,170,0.0017,2.1018989086151123
746,0.001865,94,0.00094,1.324949026107788
597,0.0014925,82,0.00082,0.9494249820709229
549,0.0013725,76,0.00076,0.960397481918335
760,0.0019,92,0.00092,2.1152780055999756
1079,0.0026975,151,0.00151,1.5213477611541748
661,0.0016525,73,0.00073,0.7052805423736572
570,0.001425,88,0.00088,1.1688804626464844
625,0.0015625,125,0.00125,1.4770290851593018
1657,0.0041425,118,0.00118,2.2086191177368164
508,0.00127,86,0.00086,0.9681556224822998
500,0.00125,94,0.00094,1.3141376972198486
995,0.0024875,92,0.00092,0.9466085433959961
1279,0.0031975,132,0.00132,2.4701895713806152
808,0.00202,128,0.00128,1.1847758293151855
1470,0.003675,143,0.00143,1.2684526443481445
717,0.0017925,99,0.00099,1.132667064666748
1061,0.0026525,103,0.00103,1.1598520278930664
472,0.00118,77,0.00077,1.0374977588653564
1382,0.003455,98,0.00098,1.1442809104919434
1275,0.0031875,112,0.00112,1.362257719039917
688,0.00172,133,0.00133,1.6029531955718994
466,0.001165,99,0.00099,1.1182355880737305
1117,0.0027925,108,0.00108,1.1287858486175537
1217,0.0030425,134,0.00134,1.4657034873962402
724,0.00181,82,0.00082,5.593815088272095
527,0.0013175,93,0.00093,1.0831589698791504
1455,0.0036375,92,0.00092,1.143836259841919
565,0.0014125,85,0.00085,1.2883615493774414
1580,0.00395,114,0.00114,1.2587471008300781
948,0.00237,110,0.0011,1.860952615737915
1053,0.0026325,98,0.00098,1.0952224731445312
871,0.0021775,110,0.0011,1.0095272064208984
919,0.0022975,120,0.0012,1.3087782859802246
752,0.00188,120,0.0012,1.0944247245788574
690,0.001725,398,0.00398,3.5678608417510986
635,0.0015875,90,0.0009,1.4819350242614746
695,0.0017375,99,0.00099,1.1781737804412842
659,0.0016475,86,0.00086,1.2654032707214355
716,0.00179,118,0.00118,1.2448837757110596
10541,0.0263525,475,0.00475,8.086598873138428
3230,0.008075,410,0.0041,7.184288740158081
6450,0.016125,161,0.00161,4.616289138793945
370,0.000925,273,0.00273,2.7342050075531006
3293,0.0082325,429,0.00429,8.789689064025879
392,0.00098,95,0.00095,0.9052529335021973
7930,0.019825,119,0.00119,3.1498489379882812
2271,0.0056775,463,0.00463,5.7192604541778564
3383,0.0084575,337,0.00337,11.351621150970459
4328,0.01082,143,0.00143,5.5430402755737305
10099,0.0252475,135,0.00135,14.616469144821167
7822,0.019555,155,0.00155,17.117814540863037
10549,0.0263725,133,0.00133,19.191359281539917
2392,0.00598,521,0.00521,10.99154806137085
7580,0.01895,127,0.00127,3.159215211868286
1669,0.0041725,90,0.0009,1.0478920936584473
2665,0.0066625,553,0.00553,10.06423568725586
5675,0.0141875,136,0.00136,3.6237075328826904
6884,0.01721,578,0.00578,11.61296796798706
7419,0.0185475,391,0.00391,8.653100728988647
5770,0.014425,523,0.00523,20.922771215438843
6214,0.015535,390,0.0039,10.171557664871216
870,0.002175,521,0.00521,4.7397236824035645
2238,0.005595,632,0.00632,5.06716775894165
5407,0.0135175,227,0.00227,4.372874975204468
1761,0.0044025,91,0.00091,3.245224714279175
1927,0.0048175,138,0.00138,5.374034881591797
3371,0.0084275,369,0.00369,7.05482029914856
1124,0.00281,415,0.00415,4.9070165157318115
11927,0.0298175,407,0.00407,7.9846460819244385
4421,0.0110525,441,0.00441,16.129541158676147
7821,0.0195525,560,0.0056,24.303930282592773
3802,0.009505,437,0.00437,8.949218511581421
1274,0.003185,474,0.00474,5.555521488189697
1230,0.003075,101,0.00101,1.1770002841949463
5530,0.013825,111,0.00111,3.9014854431152344
3066,0.007665,449,0.00449,14.622587442398071
4076,0.01019,463,0.00463,10.900741577148438
1788,0.00447,499,0.00499,5.907071590423584
488,0.00122,79,0.00079,0.8924896717071533
602,0.001505,93,0.00093,0.9915714263916016
609,0.0015225,76,0.00076,0.8712267875671387
627,0.0015675,91,0.00091,1.3733859062194824
505,0.0012625,90,0.0009,1.484973430633545
511,0.0012775,91,0.00091,1.095898151397705
607,0.0015175,115,0.00115,1.157668113708496
562,0.001405,107,0.00107,1.5910851955413818
599,0.0014975,92,0.00092,1.1688439846038818
609,0.0015225,77,0.00077,0.820256233215332
629,0.0015725,104,0.00104,2.5798423290252686
636,0.00159,90,0.0009,1.3898398876190186
603,0.0015075,97,0.00097,1.1787776947021484
494,0.001235,75,0.00075,0.9300363063812256
537,0.0013425,72,0.00072,0.856431245803833
627,0.0015675,398,0.00398,4.320102214813232
499,0.0012475,98,0.00098,0.983853816986084
501,0.0012525,85,0.00085,1.0071611404418945
629,0.0015725,117,0.00117,1.3241541385650635
552,0.00138,71,0.00071,1.0145163536071777
648,0.00162,106,0.00106,1.1619908809661865
491,0.0012275,79,0.00079,1.6186721324920654
642,0.001605,380,0.0038,5.89462685585022
754,0.001885,90,0.0009,1.0506463050842285
504,0.00126,88,0.00088,2.4122133255004883
494,0.001235,76,0.00076,0.9739964008331299
630,0.001575,90,0.0009,1.2537753582000732
506,0.001265,80,0.0008,1.1094183921813965
607,0.0015175,92,0.00092,1.080655813217163
626,0.001565,113,0.00113,1.106916904449463
489,0.0012225,81,0.00081,1.3730497360229492
607,0.0015175,92,0.00092,1.0870888233184814
601,0.0015025,381,0.00381,4.311580181121826
648,0.00162,104,0.00104,1.5968475341796875
490,0.001225,80,0.0008,1.720177173614502
644,0.00161,95,0.00095,3.2973694801330566
790,0.001975,76,0.00076,1.1694309711456299
492,0.00123,80,0.0008,1.1602599620819092
674,0.001685,82,0.00082,1.1236011981964111
616,0.00154,362,0.00362,9.315904378890991
518,0.001295,89,0.00089,1.4616403579711914
629,0.0015725,93,0.00093,1.4931800365447998
532,0.00133,75,0.00075,0.9607186317443848
