token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
786,0.002358,424,0.00636,12.71976351737976
657,0.001971,376,0.00564,12.051854610443115
495,0.001485,330,0.00495,6.843305587768555
658,0.001974,402,0.00603,9.313788175582886
743,0.002229,413,0.006195,6.739020347595215
980,0.00294,410,0.00615,9.31639552116394
1413,0.004239,381,0.005715,7.115820407867432
603,0.001809,378,0.00567,12.96763014793396
568,0.001704,417,0.006255,8.813911437988281
556,0.001668,389,0.005835,6.229994297027588
595,0.001785,390,0.00585,11.642899990081787
700,0.0021,425,0.006375,9.45151662826538
867,0.002601,449,0.006735,9.280909538269043
658,0.001974,365,0.005475,14.031662225723267
748,0.002244,381,0.005715,7.62063455581665
608,0.001824,396,0.00594,7.275695085525513
592,0.001776,422,0.00633,8.289168119430542
700,0.0021,411,0.006165,12.17305064201355
618,0.001854,361,0.005415,6.687150478363037
527,0.001581,338,0.00507,7.960806369781494
546,0.001638,368,0.00552,7.22878360748291
698,0.002094,386,0.00579,9.610302448272705
594,0.001782,341,0.005115,7.46653938293457
610,0.00183,434,0.00651,10.259397745132446
537,0.001611,407,0.006105,8.735391855239868
806,0.002418,433,0.006495,8.253127574920654
572,0.001716,401,0.006015,10.014104127883911
970,0.00291,352,0.00528,6.9743781089782715
689,0.002067,462,0.00693,12.496495962142944
717,0.002151,460,0.0069,14.723421096801758
595,0.001785,403,0.006045,7.369465589523315
552,0.001656,331,0.004965,6.973378419876099
567,0.001701,345,0.005175,6.583615779876709
585,0.001755,312,0.00468,7.859008312225342
655,0.001965,357,0.005355,8.103459358215332
650,0.00195,429,0.006435,9.259227752685547
1140,0.00342,344,0.00516,8.49599814414978
529,0.001587,335,0.005025,8.505589485168457
552,0.001656,345,0.005175,7.065302848815918
516,0.001548,321,0.004815,7.866337060928345
530,0.00159,350,0.00525,7.66761326789856
617,0.001851,354,0.00531,7.483715772628784
682,0.002046,345,0.005175,7.785247564315796
653,0.001959,450,0.00675,9.841264724731445
691,0.002073,373,0.005595,6.253971815109253
535,0.001605,442,0.00663,18.334781885147095
587,0.001761,373,0.005595,9.219122409820557
510,0.00153,362,0.00543,8.341830968856812
838,0.002514,411,0.006165,7.843086004257202
577,0.001731,370,0.00555,8.59822154045105
510,0.00153,338,0.00507,5.767035484313965
524,0.001572,349,0.005235,21.0299973487854
580,0.00174,320,0.0048,6.863824129104614
551,0.001653,369,0.005535,11.959888219833374
637,0.001911,335,0.005025,5.719938516616821
529,0.001587,395,0.005925,9.565319538116455
518,0.001554,387,0.005805,11.78486680984497
1874,0.005622,410,0.00615,6.294926881790161
724,0.002172,369,0.005535,12.031297206878662
555,0.001665,383,0.005745,6.876906156539917
602,0.001806,322,0.00483,6.208077669143677
710,0.00213,511,0.007665,8.320645570755005
550,0.00165,370,0.00555,10.594098806381226
738,0.002214,373,0.005595,7.219131231307983
529,0.001587,391,0.005865,7.872455596923828
516,0.001548,338,0.00507,7.158169746398926
759,0.002277,332,0.00498,7.144520044326782
533,0.001599,454,0.00681,10.96099066734314
687,0.002061,402,0.00603,11.150992155075073
524,0.001572,375,0.005625,7.027615308761597
468,0.001404,315,0.004725,5.85564923286438
525,0.001575,322,0.00483,5.923717975616455
566,0.001698,340,0.0051,6.1437976360321045
554,0.001662,355,0.005325,9.517309427261353
706,0.002118,364,0.00546,12.577126502990723
614,0.001842,327,0.004905,7.762727499008179
639,0.001917,378,0.00567,8.027036428451538
764,0.002292,384,0.00576,8.402872562408447
615,0.001845,385,0.005775,9.795032978057861
708,0.002124,360,0.0054,5.939954996109009
648,0.001944,358,0.00537,14.134259462356567
574,0.001722,354,0.00531,7.257105112075806
537,0.001611,340,0.0051,5.992215871810913
532,0.001596,408,0.00612,8.280115842819214
602,0.001806,336,0.00504,11.970055103302002
624,0.001872,396,0.00594,12.352643251419067
585,0.001755,365,0.005475,14.6441810131073
526,0.001578,395,0.005925,10.218111276626587
1091,0.003273,418,0.00627,22.58237314224243
563,0.001689,338,0.00507,11.82281494140625
2501,0.007503,451,0.006765,11.114140510559082
727,0.002181,391,0.005865,6.411028146743774
1572,0.004716,457,0.006855,8.30651330947876
606,0.001818,375,0.005625,6.981667995452881
542,0.001626,345,0.005175,5.324530839920044
596,0.001788,323,0.004845,5.762666463851929
551,0.001653,342,0.00513,5.574060440063477
675,0.002025,395,0.005925,6.6339356899261475
542,0.001626,366,0.00549,9.379595756530762
1820,0.00546,430,0.00645,7.545597314834595
664,0.001992,480,0.0072,8.11829686164856
790,0.00237,420,0.0063,7.829166889190674
489,0.001467,333,0.004995,7.152624607086182
782,0.002346,337,0.005055,7.560811519622803
593,0.001779,381,0.005715,6.264552593231201
1775,0.005325,436,0.00654,15.314413785934448
748,0.002244,337,0.005055,6.58713698387146
522,0.001566,351,0.005265,14.271669149398804
656,0.001968,350,0.00525,5.145750999450684
813,0.002439,395,0.005925,10.832677841186523
650,0.00195,352,0.00528,11.803772211074829
545,0.001635,377,0.005655,9.413546323776245
794,0.002382,410,0.00615,7.484954833984375
546,0.001638,346,0.00519,6.289085865020752
1244,0.003732,367,0.005505,7.220341205596924
574,0.001722,341,0.005115,11.64218282699585
789,0.002367,416,0.00624,9.441978931427002
628,0.001884,425,0.006375,17.28290820121765
2918,0.008754,442,0.00663,8.036904573440552
688,0.002064,309,0.004635,6.412383317947388
575,0.001725,365,0.005475,12.756799221038818
755,0.002265,359,0.005385,7.110349893569946
1648,0.004944,507,0.007605,8.98402738571167
626,0.001878,370,0.00555,7.87047266960144
625,0.001875,378,0.00567,8.761417388916016
880,0.00264,388,0.00582,9.729747295379639
731,0.002193,377,0.005655,7.653249025344849
606,0.001818,352,0.00528,7.299326181411743
701,0.002103,362,0.00543,8.24953579902649
581,0.001743,354,0.00531,16.892822742462158
1208,0.003624,401,0.006015,6.735018730163574
629,0.001887,334,0.00501,6.277409315109253
640,0.00192,385,0.005775,7.499139308929443
1694,0.005082,467,0.007005,9.29043960571289
655,0.001965,343,0.005145,6.987082242965698
621,0.001863,403,0.006045,8.046058654785156
1447,0.004341,318,0.00477,5.194393157958984
658,0.001974,362,0.00543,6.174707412719727
821,0.002463,451,0.006765,7.725694417953491
533,0.001599,362,0.00543,6.886996507644653
646,0.001938,412,0.00618,12.45958137512207
544,0.001632,339,0.005085,11.830376148223877
688,0.002064,393,0.005895,9.536592245101929
742,0.002226,407,0.006105,11.084181547164917
612,0.001836,360,0.0054,7.493056774139404
580,0.00174,383,0.005745,11.713687658309937
975,0.002925,434,0.00651,6.652219772338867
662,0.001986,354,0.00531,13.208999872207642
1530,0.00459,395,0.005925,7.082853078842163
596,0.001788,361,0.005415,6.7920050621032715
